Id_Advice,Id_Sample,F1-Score,Accuracy,Number_Conflicts
484,4201,86.36363983154297,76.48789978027344,29635
485,4202,87.00565338134766,77.4856948852539,30554
486,4203,87.64044952392578,78.08694458007812,28850
487,4204,87.00565338134766,77.7616195678711,30424
488,4205,86.36363983154297,76.48176574707031,29660
489,4206,85.0574722290039,74.92547607421875,27498
490,4207,86.36363983154297,76.86187744140625,30154
491,4208,87.64044952392578,78.66354370117188,29655
492,4210,88.26815795898438,79.52268981933594,29648
493,4211,87.64044952392578,78.39283752441406,30353
494,4212,88.26815795898438,79.74492645263672,29673
495,3995,87.00565338134766,77.47490692138672,30248
496,4213,85.71428680419922,75.80877685546875,30058
497,3996,87.00565338134766,77.98433685302734,30733
498,4214,88.26815795898438,79.23490905761719,29778
499,4000,85.71428680419922,75.57962799072266,30189
500,4217,85.71428680419922,75.66565704345703,30575
501,4001,86.36363983154297,76.35429382324219,30372
502,4218,86.36363983154297,76.85847473144531,29592
503,4002,87.64044952392578,78.76616668701172,29922
504,4219,85.71428680419922,75.23782348632812,30345
505,4003,85.71428680419922,75.36597442626953,30187
506,4220,87.64044952392578,78.75491333007812,30219
507,4005,86.36363983154297,76.07315063476562,29383
508,4222,85.71428680419922,75.82443237304688,30480
509,4006,87.00565338134766,77.99837493896484,29833
510,4224,87.64044952392578,78.34574890136719,30043
511,4009,87.00565338134766,77.04573822021484,29862
512,4225,86.36363983154297,76.9423599243164,29341
513,4011,85.71428680419922,75.9949951171875,30689
514,4226,87.00565338134766,77.52806091308594,30200
515,4012,87.64044952392578,78.57632446289062,30512
516,4228,86.36363983154297,76.98889923095703,30526
517,4143,87.64044952392578,78.3214340209961,29441
518,4231,86.36363983154297,76.91829681396484,30444
519,4144,88.26815795898438,79.02244567871094,30044
520,4232,87.64044952392578,78.12883758544922,29994
521,4147,87.64044952392578,78.4932861328125,30027
522,4247,87.64044952392578,78.96634674072266,29297
523,4248,85.0574722290039,74.95184326171875,30980
524,4249,87.64044952392578,78.23091888427734,29888
525,4250,85.0574722290039,74.6614990234375,30751
526,4252,86.36363983154297,76.92328643798828,29953
527,4253,87.64044952392578,78.09697723388672,30328
528,4255,86.36363983154297,76.43534088134766,30085
529,4256,84.39306640625,73.23274993896484,27802
